ID/Name,Industry,Vertical,Total (BRR),Product A Rank,Product A Total BRR,Product B Rank,Product B Total BRR,Product C Rank,Product C Total BRR,Product D Rank,Product D Total BRR,Product E Rank,Product F - Metro Rank
870970,Media & Content,Media,35242,,0,80,0,,8419,57,0,86,
824568,Media & Content,Media,50675,,0,37,0,,10045,,9700,,
313510,Media & Content,Internet Content & Software,14777,,0,84,0,,0,,14777,,
890026,Healthcare,Health Insurance,34027,,0,1047,0,,4320,,29707,,
912303,Energy & Manufacturing,Manufacturing,135454,,0,108,128317,,0,,0,,
587743,Finance,Finance,6219,,0,905,0,,0,,0,,
212246,Finance,Finance,103710,,0,770,0,,11513,,5634,,
580425,Finance,Finance,125364,,0,766,0,,16764,89,24974,,
163318,Other Enterprise,Retail,7249,,0,1147,0,,0,,7249,,
400119,CATV/Satellite,Cable & Satellite,44858,,0,579,0,,0,,0,,
367495,Healthcare,Healthcare,146878,,0,462,146878,,0,,0,,
397569,Media & Content,Internet Content & Software,0,,0,318,0,,0,,0,,
996458,Finance,Finance,5236,,0,907,0,,0,,3222,,
174769,Data Center & Cloud Services,Colo/Hosting,24935,,0,588,0,,7137,,14273,,130
404549,Media & Content,Internet Content & Software,36850,,0,16,0,49,24991,,2621,,
941572,Other Enterprise,Telecommunications Equipment Provider,107964,,0,114,20275,,30041,,32232,,
908110,Media & Content,Internet Content & Software,41893,,0,17,0,,0,,23448,,117
957010,Telecommunications,RLEC,555682,,6509,471,660,,0,35,7511,13,
869023,Telecommunications,Reseller,69681,70,15579,974,10878,,0,,13441,,189
959691,Data Center & Cloud Services,Cloud Service Provider,63504,,0,23,0,,0,97,0,,
522147,CATV/Satellite,Cable & Satellite,91665,,15243,521,3048,,0,,0,,
867725,Professional Services,Legal,77514,,0,91,71924,,623,,4967,,
441630,Media & Content,Internet Content & Software,144820,,0,15,2016,,0,,0,66,120
251358,Media & Content,Media,7341,,0,81,0,,5098,,2243,,
927603,Other Enterprise,Retail,0,,0,1194,0,,0,,0,,
729199,Media & Content,Internet Content & Software,91581,,0,101,0,27,42971,,34978,,93
865931,Telecommunications,National Carrier/ISP,179019,,5689,439,134335,,0,66,6045,95,
738698,Energy & Manufacturing,Manufacturing,9583,,0,93,0,,0,,0,,
435806,Data Center & Cloud Services,Colo/Hosting,44873,,0,567,3768,,0,,5070,,52
760718,Media & Content,Internet Content & Software,68530,,0,105,52850,,6117,,9563,,
448353,Data Center & Cloud Services,Cloud Service Provider,71236,,0,200,0,,15645,,9467,,
386426,Media & Content,Internet Content & Software,0,,0,64,0,,0,,0,,
191253,Finance,Finance,21450,,0,855,0,,3525,,10876,,
360311,Other Enterprise,Transportation,39745,,0,1041,0,,6224,,33521,,201
721656,Media & Content,Internet Content & Software,89827,,0,193,0,48,32421,96,33499,,
138755,Finance,Finance,67376,,0,,0,,12044,,19547,,
651241,Other Enterprise,Retail,0,,,1197,,,,,,,
797980,Finance,Finance,148166,,0,763,0,,6042,,3033,23,56
812744,Other Enterprise,Transportation,100296,,0,968,0,,0,,0,,
811264,Telecommunications,Wireless,211148,11,160310,,0,,0,,0,,161
610306,Media & Content,Media,72735,,0,82,0,,0,55,2146,88,70
258844,Energy & Manufacturing,Oil & Gas,21228,,0,1065,0,,5002,,11196,,
435349,Government,Federal Government,147470,,0,962,0,,0,,0,,
837905,Media & Content,Media,35639,,0,220,0,,4306,,0,,
883473,Healthcare,Health Insurance,109869,34,30370,965,0,,4379,,49372,,126
450667,Data Center & Cloud Services,Colo/Hosting,86881,,0,520,3605,,1208,,1511,,167
404968,CATV/Satellite,Cable & Satellite,78305,,21806,152,495,,0,,19874,,184
746926,Data Center & Cloud Services,Colo/Hosting,302211,,0,472,9006,2,107004,12,48918,,
890004,Telecommunications,Regional Carrier/ISP,302362,40,21504,,678,,17332,17,24925,,17
370062,Healthcare,Health Insurance,16827,,0,88,0,,252,,70,,116